,V108,V109,V110,V111,V112,V113,V114,V115,V116,V117,V118,V119,V120,V121,V122,V123
140,2,2,2,3,3,2,3,2,3,3,4,3,3,3,3,4
141,-2,2,-2,-2,-2,3,-2,3,4,-2,4,2,4,4,4,4
142,2,1,3,3,3,2,3,2,3,3,3,2,3,4,4,3
143,1,1,3,3,-2,1,3,3,4,-2,3,2,-2,-2,-2,-2
144,1,1,-2,-2,-2,1,3,3,-2,-2,-2,1,-2,-2,-2,-2
145,1,1,3,3,4,2,3,3,4,4,4,2,3,3,4,4
146,-2,1,-2,3,-2,3,2,3,-2,3,-2,3,-2,-2,-2,-2
147,2,2,3,3,3,3,3,3,4,3,4,2,3,3,4,4
148,1,1,2,2,4,1,3,2,3,3,4,-2,-2,3,-2,-2
149,2,2,3,3,-2,2,4,1,3,-2,-2,2,-2,-2,-2,-2
150,1,3,4,3,1,3,4,4,4,4,4,4,3,4,3,2
151,3,2,2,2,3,2,2,2,3,3,3,3,2,2,1,3
152,4,4,4,3,3,3,3,3,4,4,4,4,3,3,3,3
153,3,2,2,1,2,2,3,3,2,1,3,4,2,2,1,3
154,1,1,4,4,4,1,1,4,4,4,4,1,1,1,1,4
155,3,3,3,2,2,1,2,1,1,1,3,3,2,3,3,2
156,3,3,3,3,-2,2,2,3,3,3,3,3,3,3,3,3
157,2,2,3,2,2,1,1,3,2,1,2,2,3,2,2,3
158,2,3,3,2,2,1,2,3,3,2,2,3,2,2,3,1
159,2,2,4,3,4,3,3,2,4,3,3,2,4,4,1,4
160,2,2,3,3,3,2,3,3,3,3,3,3,3,3,3,3
161,1,2,2,2,3,2,2,3,2,2,2,3,3,2,2,2
162,3,2,4,3,-2,2,3,3,4,4,3,3,3,3,2,4
163,3,-2,3,3,4,3,4,3,4,-2,4,4,-2,-2,-2,-2
164,2,2,2,2,2,2,2,2,3,3,3,2,3,3,3,3
165,2,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4
166,1,2,4,4,2,1,2,2,-2,3,2,2,3,2,2,2
167,1,1,4,4,2,1,1,4,4,4,4,4,-2,-2,-2,-2
168,2,3,3,2,3,1,3,2,4,2,2,1,3,3,2,2
169,1,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4
170,1,4,4,4,4,4,3,3,3,4,4,4,4,4,4,4
171,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
172,1,1,3,3,3,3,3,3,3,3,3,3,2,2,2,2
173,1,1,3,3,3,1,3,3,3,3,3,3,3,1,3,3
174,1,2,2,2,3,1,2,2,2,2,1,1,3,3,4,4
175,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
176,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
177,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4
178,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
179,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
180,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
181,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
182,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
183,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3
184,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
185,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,3
186,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2
187,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2
188,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
189,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
190,1,2,2,1,3,2,2,2,3,2,2,2,2,1,2,3
191,1,1,2,2,3,2,2,2,3,2,2,2,2,1,2,3
192,4,3,4,4,4,3,3,3,4,4,4,4,4,4,4,4
193,1,2,2,2,3,2,2,3,4,4,3,3,2,2,3,4
194,1,2,4,4,3,2,2,4,4,2,3,2,1,1,2,3
195,3,3,4,3,4,3,3,4,3,3,3,3,-2,-2,3,-2
196,1,2,2,2,3,2,2,3,4,4,4,3,3,2,3,4
197,-2,1,-2,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
198,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
199,1,2,2,2,3,2,2,3,4,4,3,2,3,2,-2,-2
200,1,1,3,-2,1,2,1,3,-2,3,2,2,1,1,1,2
201,1,3,4,2,-2,3,1,2,4,2,2,1,3,1,3,4
202,2,1,4,4,3,2,2,2,4,4,3,2,1,1,2,3
203,1,1,1,2,-2,1,1,1,2,-2,1,-2,-2,-2,-2,-2
204,1,1,2,3,4,1,1,1,3,3,2,2,-2,1,-2,-2
205,1,1,3,2,1,1,1,2,3,2,1,1,1,1,3,3
206,1,1,4,2,1,1,1,1,2,2,2,1,1,1,-2,-2
207,1,1,4,1,4,1,1,1,1,1,2,1,1,1,3,-2
208,1,1,-2,1,-2,1,1,1,2,4,2,-2,-2,-2,-2,-2
209,1,1,2,2,-2,1,1,2,4,2,2,1,2,2,2,1
210,2,3,2,2,3,3,3,4,4,4,2,1,1,2,3,3
211,2,3,2,2,4,2,3,2,4,4,2,1,2,1,3,3
212,3,2,2,2,4,2,2,2,4,4,2,1,2,1,3,2
213,2,3,1,2,3,4,2,3,4,3,2,2,3,2,4,4
214,2,4,2,2,3,4,3,4,4,4,2,2,3,2,2,3
215,2,3,2,2,3,3,2,3,4,4,3,2,2,1,3,3
216,3,2,3,2,3,2,3,3,4,4,3,1,2,1,3,3
217,3,2,2,2,4,4,3,4,4,4,2,1,2,2,3,3
218,3,2,3,2,4,3,2,2,4,4,2,3,3,1,3,2
219,2,3,1,1,3,2,3,3,4,4,2,1,2,1,3,2
220,1,-2,2,1,-2,4,3,-2,-2,-2,-2,-2,3,2,3,-2
221,2,2,1,1,3,2,2,3,3,1,2,1,3,3,3,2
222,2,3,1,1,-2,3,3,-2,-2,-2,2,2,2,2,2,-2
223,2,3,1,1,2,3,4,4,-2,-2,1,3,2,2,-2,-2
224,1,-2,2,1,-2,3,4,-2,-2,-2,3,2,-2,-2,-2,-2
225,3,-2,3,1,-2,4,2,4,-2,-2,-2,-2,-2,3,-2,-2
226,3,2,2,2,4,2,2,2,4,4,2,1,3,2,3,3
227,2,3,1,3,3,3,3,3,-2,2,2,3,-2,-2,-2,-2
228,3,3,2,3,4,3,3,3,4,4,2,1,2,1,3,2
229,1,3,1,1,2,2,2,3,3,3,2,2,1,1,1,3
230,2,3,4,2,4,1,2,2,-2,-2,2,1,3,1,4,3
231,2,4,3,2,4,3,4,2,4,4,2,1,2,1,3,2
232,3,4,2,3,4,2,3,2,4,4,3,1,2,3,4,2
233,2,3,2,2,4,2,3,3,4,4,2,1,2,1,3,3
234,2,3,1,2,4,2,3,4,4,4,1,1,2,1,3,2
235,2,3,1,2,4,4,3,2,4,3,2,1,2,1,4,2
236,3,1,3,1,4,2,3,2,4,4,2,1,2,1,3,3
237,3,2,3,2,4,1,2,3,4,4,2,1,2,1,3,3
238,2,3,2,2,4,3,3,3,4,4,3,1,3,1,4,2
239,2,3,2,2,4,2,3,3,4,4,1,1,2,1,4,3
240,2,4,3,4,-2,1,3,-2,4,4,2,1,3,2,4,1
241,1,4,3,3,4,4,3,3,4,-2,1,1,3,2,4,3
242,3,4,3,2,-2,4,3,3,-2,-2,1,2,3,2,4,-2
243,3,4,3,3,-2,4,4,-2,-2,4,1,3,3,2,4,2
244,2,4,3,3,3,2,4,1,-2,4,1,2,3,2,4,3
245,3,1,3,2,-2,2,4,-2,-2,4,3,2,3,2,3,2
246,-2,4,3,3,4,4,3,4,-2,3,1,1,3,4,-2,3
247,2,3,4,3,2,1,3,-2,4,-2,1,1,3,2,4,3
248,3,-2,2,4,-2,1,4,2,-2,-2,3,1,3,1,2,1
249,-2,4,3,4,-2,4,4,4,3,4,3,3,4,4,3,2
250,2,1,3,3,-2,1,2,1,4,-2,1,1,2,1,3,2
251,3,4,2,2,4,3,4,3,1,-2,1,1,3,1,2,-2
252,3,2,3,3,4,2,1,2,4,-2,1,2,2,1,3,4
253,1,2,3,3,4,2,3,2,4,-2,1,1,1,3,2,3
254,1,2,3,3,2,1,2,1,3,4,1,2,1,1,3,2
255,2,4,3,2,4,1,3,4,-2,-2,1,2,3,1,2,2
256,4,4,3,2,-2,2,3,2,-2,-2,1,3,3,1,3,2
257,1,2,2,4,1,2,2,4,-2,1,2,2,1,3,2,1
258,3,2,4,3,4,3,2,3,1,4,2,3,2,3,1,2
259,2,3,3,4,3,3,4,3,4,-2,1,2,2,1,3,3
260,1,3,4,4,4,4,3,4,4,4,3,2,3,3,2,3
261,2,2,4,3,3,2,2,3,4,4,3,4,2,2,3,3
262,4,1,3,3,3,2,2,3,3,3,3,3,2,2,3,3
263,2,3,3,2,3,1,3,2,4,2,3,1,3,1,2,2
264,1,1,2,2,2,2,2,2,4,4,4,3,2,2,4,4
265,2,2,3,3,3,3,3,3,3,3,3,3,-2,-2,-2,-2
266,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3
267,2,2,3,2,2,2,2,2,3,3,2,4,2,3,3,2
268,3,2,4,2,3,3,3,3,3,3,3,2,2,3,2,2
269,2,2,3,3,4,2,3,3,4,3,3,3,4,4,2,3
270,2,3,3,2,1,2,3,3,2,2,3,4,3,3,3,2
271,2,2,3,3,-2,4,4,3,3,3,3,-2,-2,-2,-2,-2
272,1,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3
273,2,1,3,-2,-2,3,4,3,-2,-2,-2,-2,3,2,3,2
274,2,2,3,2,-2,2,3,4,2,4,3,3,2,2,2,3
275,2,4,4,3,3,4,3,4,4,4,-2,4,-2,-2,-2,-2
276,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
277,2,2,2,3,3,3,2,2,4,4,3,3,3,3,3,3
278,3,3,4,3,-2,3,3,4,4,-2,3,3,-2,-2,-2,-2
279,2,2,3,3,3,3,3,3,3,3,3,3,-2,-2,-2,-2
280,3,2,4,3,4,2,3,4,4,4,3,4,3,2,4,4
281,1,2,3,2,-2,2,2,4,4,4,3,3,4,4,4,4
282,3,3,2,2,2,3,4,4,4,4,3,2,-2,4,2,3
283,2,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3
284,2,2,2,2,-2,-2,4,4,4,4,4,3,4,4,4,-2
285,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3
286,4,2,4,3,4,4,3,2,4,3,4,3,3,3,2,2
287,-2,3,3,3,3,3,3,3,4,4,3,3,4,4,3,4
288,1,3,3,3,-2,3,3,4,3,3,2,3,3,3,3,3
289,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4
290,3,-2,3,3,3,3,3,4,4,-2,4,-2,4,-2,-2,-2
291,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4
292,2,2,4,2,3,3,2,3,4,-2,-2,3,1,2,2,2
293,1,4,4,4,2,1,2,2,-2,3,2,2,3,2,2,2
294,3,4,4,2,2,1,3,2,1,3,2,2,2,3,3,3
295,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
296,1,2,4,4,3,3,4,3,-2,-2,3,2,-2,4,3,4
297,2,2,3,2,3,2,3,4,4,4,4,3,3,2,-2,-2
298,3,3,3,2,-2,3,3,3,-2,-2,3,-2,3,3,-2,-2
299,-2,-2,-2,3,-2,1,3,-2,-2,-2,4,3,4,4,4,4
300,3,2,4,2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
301,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
302,1,1,4,3,3,3,4,4,4,4,4,4,3,3,2,2
303,1,4,3,4,1,2,1,4,4,4,4,4,4,1,-2,-2
304,3,2,3,2,4,3,4,4,4,4,4,2,4,4,4,4
305,3,-2,3,-2,3,-2,3,-2,4,-2,3,3,-2,-2,2,3
306,2,2,3,3,2,2,-2,-2,-2,-2,4,4,-2,-2,-2,-2
